created_at,value_ultrasonic,value_matchface,hour
2024-11-01 02:24:37,1,0,2
2024-11-01 02:24:43,1,0,2
2024-11-01 02:24:49,1,0,2
2024-11-01 02:24:55,1,0,2
2024-11-01 02:25:01,1,0,2
2024-11-01 02:25:07,1,0,2
2024-11-01 02:25:13,1,0,2
2024-11-01 02:25:20,1,0,2
2024-11-01 02:25:25,1,0,2
2024-11-01 02:25:31,1,0,2
2024-11-01 02:26:08,1,0,2
2024-11-01 02:26:14,1,0,2
2024-11-01 02:26:20,1,-1,2
2024-11-01 02:26:29,1,0,2
2024-11-01 02:26:35,1,0,2
2024-11-01 02:26:41,1,0,2
2024-11-01 02:26:47,1,0,2
2024-11-01 02:26:53,1,0,2
2024-11-01 02:26:59,1,0,2
2024-11-01 02:27:05,1,0,2
2024-11-01 02:27:14,1,0,2
2024-11-01 02:27:23,1,0,2
2024-11-01 02:28:08,1,0,2
2024-11-01 02:28:14,1,0,2
2024-11-01 02:28:20,1,0,2
2024-11-01 02:28:26,1,-1,2
2024-11-01 02:28:32,1,-1,2
2024-11-01 02:28:38,1,0,2
2024-11-01 02:28:44,1,0,2
2024-11-01 02:28:50,1,0,2
2024-11-01 02:28:56,1,0,2
2024-11-01 02:29:02,1,0,2
2024-11-01 02:29:08,1,0,2
2024-11-01 02:29:14,1,0,2
2024-11-01 02:29:20,1,0,2
2024-11-01 02:29:26,1,0,2
2024-11-01 02:29:32,1,0,2
2024-11-01 02:29:38,1,0,2
2024-11-01 02:29:44,1,0,2
2024-11-01 02:29:50,1,0,2
2024-11-01 02:29:56,1,0,2
2024-11-01 02:30:02,1,0,2
2024-11-01 02:30:08,1,0,2
2024-11-01 02:30:14,1,0,2
2024-11-01 02:30:20,1,0,2
2024-11-01 02:30:26,1,0,2
2024-11-01 02:30:32,1,0,2
2024-11-01 02:30:38,1,0,2
2024-11-01 02:30:44,1,0,2
2024-11-01 02:30:50,1,0,2
2024-11-01 02:30:56,1,0,2
2024-11-01 02:31:02,1,0,2
2024-11-01 02:31:08,1,0,2
2024-11-01 02:31:14,1,0,2
2024-11-01 02:31:20,1,0,2
2024-11-01 02:31:26,1,0,2
2024-11-01 02:31:32,1,0,2
2024-11-01 02:31:38,1,0,2
2024-11-01 02:31:44,1,0,2
2024-11-01 02:31:50,1,0,2
2024-11-01 02:31:56,1,0,2
2024-11-01 02:32:02,1,0,2
2024-11-01 02:32:08,1,0,2
2024-11-01 02:32:14,1,0,2
2024-11-01 02:32:20,1,0,2
